cohort,run,status,arm,elapsed_seconds,elapsed_at_interrupt_ps,request_count,observed_processed_tokens,telemetry_coverage,report_reconstructed,fixture_tests_pass,hidden_tests_pass,independent_pytest_exit,original_tests_unchanged,paired_jev_comparison_available,result_path
build-baseline-001,run-001-baseline,failed,baseline,438.80359670799226,,0,,Local Claude API-request events; validate delivery and auxiliary coverage before comparing totals.,False,unmeasured,unmeasured,,unmeasured,False,build-baseline-001/run-001-baseline/result.json
build-baseline-002,run-001-baseline,failed,baseline,1780.0146979170386,,24,1258960,Local Claude API-request events; validate delivery and auxiliary coverage before comparing totals.,False,unmeasured,unmeasured,,unmeasured,False,build-baseline-002/run-001-baseline/result.json
build-baseline-003,run-001-baseline,aborted,baseline,,20:41,16,635120,"Observed OTLP records; collector error counter was lost when SIGINT interrupted report finalization. Totals are recorded consumption, not verified complete usage.",True,unmeasured,unmeasured,,unmeasured,False,build-baseline-003/run-001-baseline/result.json
build-baseline-004,run-001-baseline,aborted,baseline,,38:44,47,2323078,Observed OTLP records; collector error counter lost when SIGINT interrupted report finalization. Captured totals are not guaranteed complete.,True,unmeasured,unmeasured,1,True,False,build-baseline-004/run-001-baseline/result.json
build-baseline-005,run-001-baseline,failed,baseline,4166.8289015837945,,142,7689642,Local Claude API-request events; validate delivery and auxiliary coverage before comparing totals.,False,unmeasured,unmeasured,1,True,False,build-baseline-005/run-001-baseline/result.json
